semEpi;estadoIBGE;municipio;faixa_etaria;casos
1;AL;SAO MIGUEL DOS CAMPOS;40 a 59 anos;1
1;AL;SAO SEBASTIAO;70 anos e mais;1
1;AL;TANQUE D ARCA;20 a 39 anos;1
1;AL;TAQUARANA;20 a 39 anos;1
1;AL;TAQUARANA;40 a 59 anos;1
1;AM;APUI;20 a 39 anos;1
1;AM;ATALAIA DO NORTE;0 a 06 meses;1
1;AM;ATALAIA DO NORTE;02 a 04 anos;2
1;AM;ATALAIA DO NORTE;05 a 10 anos;1
1;AM;ATALAIA DO NORTE;16 a 19 anos;3
1;AM;ATALAIA DO NORTE;20 a 39 anos;15
1;AM;ATALAIA DO NORTE;40 a 59 anos;4
1;AM;ATALAIA DO NORTE;60 a 69 anos;3
1;AM;ATALAIA DO NORTE;70 anos e mais;1
1;AM;BARCELOS;20 a 39 anos;1
1;AM;BENJAMIN CONSTANT;40 a 59 anos;1
1;AM;BENJAMIN CONSTANT;sem informaç ;1
1;AM;BERURI;16 a 19 anos;2
1;AM;BERURI;20 a 39 anos;1
1;AM;BERURI;40 a 59 anos;1
1;AM;BERURI;60 a 69 anos;1
1;AM;BOA VISTA DO RAMOS;11 a 15 anos;2
1;AM;BOA VISTA DO RAMOS;20 a 39 anos;1
1;AM;BOA VISTA DO RAMOS;40 a 59 anos;1
1;AM;BOCA DO ACRE;05 a 10 anos;3
1;AM;BOCA DO ACRE;20 a 39 anos;6
1;AM;BOCA DO ACRE;40 a 59 anos;1
1;AM;BOCA DO ACRE;70 anos e mais;1
1;AM;CANUTAMA;60 a 69 anos;1
1;AM;CARAUARI;05 a 10 anos;2
1;AM;CARAUARI;07 meses a 01 ano;1
1;AM;CARAUARI;11 a 15 anos;12
1;AM;CARAUARI;16 a 19 anos;23
1;AM;CARAUARI;20 a 39 anos;100
1;AM;CARAUARI;40 a 59 anos;63
1;AM;CARAUARI;60 a 69 anos;19
1;AM;CARAUARI;70 anos e mais;18
1;AM;CARAUARI;sem informaç ;1
1;AM;CODAJAS;07 meses a 01 ano;1
1;AM;CODAJAS;16 a 19 anos;1
1;AM;CODAJAS;20 a 39 anos;2
1;AM;CODAJAS;60 a 69 anos;1
1;AM;CODAJAS;70 anos e mais;3
1;AM;EIRUNEPE;40 a 59 anos;1
1;AM;GUAJARA;05 a 10 anos;2
1;AM;GUAJARA;20 a 39 anos;4
1;AM;GUAJARA;60 a 69 anos;1
1;AM;HUMAITA;02 a 04 anos;1
1;AM;HUMAITA;05 a 10 anos;3
1;AM;HUMAITA;07 meses a 01 ano;1
1;AM;HUMAITA;11 a 15 anos;1
1;AM;HUMAITA;16 a 19 anos;3
1;AM;HUMAITA;20 a 39 anos;30
1;AM;HUMAITA;40 a 59 anos;24
1;AM;HUMAITA;60 a 69 anos;4
1;AM;HUMAITA;70 anos e mais;10
1;AM;HUMAITA;sem informaç ;1
1;AM;IPIXUNA;20 a 39 anos;2
1;AM;IPIXUNA;40 a 59 anos;1
1;AM;IRANDUBA;16 a 19 anos;1
1;AM;IRANDUBA;20 a 39 anos;3
1;AM;IRANDUBA;40 a 59 anos;1
1;AM;ITACOATIARA;20 a 39 anos;1
1;AM;ITACOATIARA;40 a 59 anos;1
1;AM;ITAMARATI;11 a 15 anos;1
1;AM;JAPURA;70 anos e mais;1
1;AM;JURUA;20 a 39 anos;1
1;AM;LABREA;02 a 04 anos;2
1;AM;LABREA;07 meses a 01 ano;1
1;AM;LABREA;16 a 19 anos;1
1;AM;LABREA;20 a 39 anos;17
1;AM;LABREA;40 a 59 anos;10
1;AM;LABREA;60 a 69 anos;1
1;AM;LABREA;70 anos e mais;2
1;AM;MANACAPURU;20 a 39 anos;1
1;AM;MANACAPURU;70 anos e mais;2
1;AM;MANAUS;0 a 06 meses;6
1;AM;MANAUS;02 a 04 anos;4
1;AM;MANAUS;05 a 10 anos;3
1;AM;MANAUS;07 meses a 01 ano;13
1;AM;MANAUS;11 a 15 anos;1
1;AM;MANAUS;16 a 19 anos;4
1;AM;MANAUS;20 a 39 anos;50
1;AM;MANAUS;40 a 59 anos;40
1;AM;MANAUS;60 a 69 anos;14
1;AM;MANAUS;70 anos e mais;11
1;AM;MANAUS;sem informaç ;2
1;AM;MANICORE;20 a 39 anos;3
1;AM;MANICORE;40 a 59 anos;1
1;AM;MAUES;0 a 06 meses;1
1;AM;NOVO AIRAO;11 a 15 anos;1
1;AM;NOVO AIRAO;20 a 39 anos;1
1;AM;NOVO AIRAO;70 anos e mais;1
1;AM;NOVO ARIPUANA;60 a 69 anos;1
1;AM;PARINTINS;20 a 39 anos;1
1;AM;PAUINI;20 a 39 anos;10
1;AM;PAUINI;40 a 59 anos;6
1;AM;PAUINI;60 a 69 anos;4
